date and time;index;date;month;day;weeknr;weekday(0=M);hour;daytype(WrkSaSu);occupancyperc
2024-01-01 00:00:00+01:00;0;1-1-2024;1;1;1;0;0;1;0
2024-01-01 01:00:00+01:00;1;1-1-2024;1;1;1;0;1;1;0
2024-01-01 02:00:00+01:00;2;1-1-2024;1;1;1;0;2;1;0
2024-01-01 03:00:00+01:00;3;1-1-2024;1;1;1;0;3;1;0
2024-01-01 04:00:00+01:00;4;1-1-2024;1;1;1;0;4;1;0
2024-01-01 05:00:00+01:00;5;1-1-2024;1;1;1;0;5;1;0
2024-01-01 06:00:00+01:00;6;1-1-2024;1;1;1;0;6;1;0
2024-01-01 07:00:00+01:00;7;1-1-2024;1;1;1;0;7;1;0
2024-01-01 08:00:00+01:00;8;1-1-2024;1;1;1;0;8;1;60
2024-01-01 09:00:00+01:00;9;1-1-2024;1;1;1;0;9;1;60
2024-01-01 10:00:00+01:00;10;1-1-2024;1;1;1;0;10;1;90
2024-01-01 11:00:00+01:00;11;1-1-2024;1;1;1;0;11;1;90
2024-01-01 12:00:00+01:00;12;1-1-2024;1;1;1;0;12;1;50
2024-01-01 13:00:00+01:00;13;1-1-2024;1;1;1;0;13;1;50
2024-01-01 14:00:00+01:00;14;1-1-2024;1;1;1;0;14;1;80
2024-01-01 15:00:00+01:00;15;1-1-2024;1;1;1;0;15;1;80
2024-01-01 16:00:00+01:00;16;1-1-2024;1;1;1;0;16;1;80
2024-01-01 17:00:00+01:00;17;1-1-2024;1;1;1;0;17;1;50
2024-01-01 18:00:00+01:00;18;1-1-2024;1;1;1;0;18;1;42
2024-01-01 19:00:00+01:00;19;1-1-2024;1;1;1;0;19;1;33
2024-01-01 20:00:00+01:00;20;1-1-2024;1;1;1;0;20;1;25
2024-01-01 21:00:00+01:00;21;1-1-2024;1;1;1;0;21;1;17
2024-01-01 22:00:00+01:00;22;1-1-2024;1;1;1;0;22;1;8
2024-01-01 23:00:00+01:00;23;1-1-2024;1;1;1;0;23;1;0
2024-01-02 00:00:00+01:00;24;2-1-2024;1;2;1;1;0;1;0
2024-01-02 01:00:00+01:00;25;2-1-2024;1;2;1;1;1;1;0
2024-01-02 02:00:00+01:00;26;2-1-2024;1;2;1;1;2;1;0
2024-01-02 03:00:00+01:00;27;2-1-2024;1;2;1;1;3;1;0
2024-01-02 04:00:00+01:00;28;2-1-2024;1;2;1;1;4;1;0
2024-01-02 05:00:00+01:00;29;2-1-2024;1;2;1;1;5;1;0
2024-01-02 06:00:00+01:00;30;2-1-2024;1;2;1;1;6;1;0
2024-01-02 07:00:00+01:00;31;2-1-2024;1;2;1;1;7;1;0
2024-01-02 08:00:00+01:00;32;2-1-2024;1;2;1;1;8;1;60
2024-01-02 09:00:00+01:00;33;2-1-2024;1;2;1;1;9;1;60
2024-01-02 10:00:00+01:00;34;2-1-2024;1;2;1;1;10;1;90
2024-01-02 11:00:00+01:00;35;2-1-2024;1;2;1;1;11;1;90
2024-01-02 12:00:00+01:00;36;2-1-2024;1;2;1;1;12;1;50
2024-01-02 13:00:00+01:00;37;2-1-2024;1;2;1;1;13;1;50
2024-01-02 14:00:00+01:00;38;2-1-2024;1;2;1;1;14;1;80
2024-01-02 15:00:00+01:00;39;2-1-2024;1;2;1;1;15;1;80
2024-01-02 16:00:00+01:00;40;2-1-2024;1;2;1;1;16;1;80
2024-01-02 17:00:00+01:00;41;2-1-2024;1;2;1;1;17;1;50
2024-01-02 18:00:00+01:00;42;2-1-2024;1;2;1;1;18;1;42
2024-01-02 19:00:00+01:00;43;2-1-2024;1;2;1;1;19;1;33
2024-01-02 20:00:00+01:00;44;2-1-2024;1;2;1;1;20;1;25
2024-01-02 21:00:00+01:00;45;2-1-2024;1;2;1;1;21;1;17
2024-01-02 22:00:00+01:00;46;2-1-2024;1;2;1;1;22;1;8
2024-01-02 23:00:00+01:00;47;2-1-2024;1;2;1;1;23;1;0
2024-01-03 00:00:00+01:00;48;3-1-2024;1;3;1;2;0;1;0
2024-01-03 01:00:00+01:00;49;3-1-2024;1;3;1;2;1;1;0
2024-01-03 02:00:00+01:00;50;3-1-2024;1;3;1;2;2;1;0
2024-01-03 03:00:00+01:00;51;3-1-2024;1;3;1;2;3;1;0
2024-01-03 04:00:00+01:00;52;3-1-2024;1;3;1;2;4;1;0
2024-01-03 05:00:00+01:00;53;3-1-2024;1;3;1;2;5;1;0
2024-01-03 06:00:00+01:00;54;3-1-2024;1;3;1;2;6;1;0
2024-01-03 07:00:00+01:00;55;3-1-2024;1;3;1;2;7;1;0
2024-01-03 08:00:00+01:00;56;3-1-2024;1;3;1;2;8;1;60
2024-01-03 09:00:00+01:00;57;3-1-2024;1;3;1;2;9;1;60
2024-01-03 10:00:00+01:00;58;3-1-2024;1;3;1;2;10;1;90
2024-01-03 11:00:00+01:00;59;3-1-2024;1;3;1;2;11;1;90
2024-01-03 12:00:00+01:00;60;3-1-2024;1;3;1;2;12;1;50
2024-01-03 13:00:00+01:00;61;3-1-2024;1;3;1;2;13;1;50
2024-01-03 14:00:00+01:00;62;3-1-2024;1;3;1;2;14;1;80
2024-01-03 15:00:00+01:00;63;3-1-2024;1;3;1;2;15;1;80
2024-01-03 16:00:00+01:00;64;3-1-2024;1;3;1;2;16;1;80
2024-01-03 17:00:00+01:00;65;3-1-2024;1;3;1;2;17;1;50
2024-01-03 18:00:00+01:00;66;3-1-2024;1;3;1;2;18;1;42
2024-01-03 19:00:00+01:00;67;3-1-2024;1;3;1;2;19;1;33
2024-01-03 20:00:00+01:00;68;3-1-2024;1;3;1;2;20;1;25
2024-01-03 21:00:00+01:00;69;3-1-2024;1;3;1;2;21;1;17
2024-01-03 22:00:00+01:00;70;3-1-2024;1;3;1;2;22;1;8
2024-01-03 23:00:00+01:00;71;3-1-2024;1;3;1;2;23;1;0
2024-01-04 00:00:00+01:00;72;4-1-2024;1;4;1;3;0;1;0
2024-01-04 01:00:00+01:00;73;4-1-2024;1;4;1;3;1;1;0
2024-01-04 02:00:00+01:00;74;4-1-2024;1;4;1;3;2;1;0
2024-01-04 03:00:00+01:00;75;4-1-2024;1;4;1;3;3;1;0
2024-01-04 04:00:00+01:00;76;4-1-2024;1;4;1;3;4;1;0
2024-01-04 05:00:00+01:00;77;4-1-2024;1;4;1;3;5;1;0
2024-01-04 06:00:00+01:00;78;4-1-2024;1;4;1;3;6;1;0
2024-01-04 07:00:00+01:00;79;4-1-2024;1;4;1;3;7;1;0
2024-01-04 08:00:00+01:00;80;4-1-2024;1;4;1;3;8;1;60
2024-01-04 09:00:00+01:00;81;4-1-2024;1;4;1;3;9;1;60
2024-01-04 10:00:00+01:00;82;4-1-2024;1;4;1;3;10;1;90
2024-01-04 11:00:00+01:00;83;4-1-2024;1;4;1;3;11;1;90
2024-01-04 12:00:00+01:00;84;4-1-2024;1;4;1;3;12;1;50
2024-01-04 13:00:00+01:00;85;4-1-2024;1;4;1;3;13;1;50
2024-01-04 14:00:00+01:00;86;4-1-2024;1;4;1;3;14;1;80
2024-01-04 15:00:00+01:00;87;4-1-2024;1;4;1;3;15;1;80
2024-01-04 16:00:00+01:00;88;4-1-2024;1;4;1;3;16;1;80
2024-01-04 17:00:00+01:00;89;4-1-2024;1;4;1;3;17;1;50
2024-01-04 18:00:00+01:00;90;4-1-2024;1;4;1;3;18;1;42
2024-01-04 19:00:00+01:00;91;4-1-2024;1;4;1;3;19;1;33
2024-01-04 20:00:00+01:00;92;4-1-2024;1;4;1;3;20;1;25
2024-01-04 21:00:00+01:00;93;4-1-2024;1;4;1;3;21;1;17
2024-01-04 22:00:00+01:00;94;4-1-2024;1;4;1;3;22;1;8
2024-01-04 23:00:00+01:00;95;4-1-2024;1;4;1;3;23;1;0
2024-01-05 00:00:00+01:00;96;5-1-2024;1;5;1;4;0;1;0
2024-01-05 01:00:00+01:00;97;5-1-2024;1;5;1;4;1;1;0
2024-01-05 02:00:00+01:00;98;5-1-2024;1;5;1;4;2;1;0
2024-01-05 03:00:00+01:00;99;5-1-2024;1;5;1;4;3;1;0
2024-01-05 04:00:00+01:00;100;5-1-2024;1;5;1;4;4;1;0
2024-01-05 05:00:00+01:00;101;5-1-2024;1;5;1;4;5;1;0
2024-01-05 06:00:00+01:00;102;5-1-2024;1;5;1;4;6;1;0
2024-01-05 07:00:00+01:00;103;5-1-2024;1;5;1;4;7;1;0
2024-01-05 08:00:00+01:00;104;5-1-2024;1;5;1;4;8;1;60
2024-01-05 09:00:00+01:00;105;5-1-2024;1;5;1;4;9;1;60
2024-01-05 10:00:00+01:00;106;5-1-2024;1;5;1;4;10;1;90
2024-01-05 11:00:00+01:00;107;5-1-2024;1;5;1;4;11;1;90
2024-01-05 12:00:00+01:00;108;5-1-2024;1;5;1;4;12;1;50
2024-01-05 13:00:00+01:00;109;5-1-2024;1;5;1;4;13;1;50
2024-01-05 14:00:00+01:00;110;5-1-2024;1;5;1;4;14;1;80
2024-01-05 15:00:00+01:00;111;5-1-2024;1;5;1;4;15;1;80
2024-01-05 16:00:00+01:00;112;5-1-2024;1;5;1;4;16;1;80
2024-01-05 17:00:00+01:00;113;5-1-2024;1;5;1;4;17;1;50
